期間,from,to,通貨ペア,約定区分,売買区分,,,,,,,,,
期間指定,2017/5/10 0:00,2017/5/11 23:59,全通貨,決済約定,全売買,,,,,,,,,
通貨ペア,新規約定日時,新規約定値,決済約定日時,決済約定値,売買,Lot数,注文番号,,,通貨ペア,Open日時,Open値,Close日時,Close値
USD/JPY,2017/5/11 10:15,114.16,2017/5/11 10:15,114.151,買,300,1.7131E+15,,,,,,,
USD/JPY,2017/5/11 10:13,114.134,2017/5/11 10:13,114.142,売,500,1.7131E+15,,,"GBPJPY, 2010-05-25 18:03:16, -127.97000, 2010-05-26 03:47:53, 129.70000",,,,
USD/JPY,2017/5/11 9:55,114.237,2017/5/11 9:56,114.254,売,500,1.7131E+15,,,,,,,
USD/JPY,2017/5/10 23:32,113.863,2017/5/10 23:33,113.886,売,300,1.713E+15,,,,,,,
USD/JPY,2017/5/10 22:24,113.892,2017/5/10 22:32,113.892,売,100,1.713E+15,,,,,,,
USD/JPY,2017/5/10 22:31,113.852,2017/5/10 22:31,113.867,売,100,1.713E+15,,,,,,,
USD/JPY,2017/5/10 22:00,113.854,2017/5/10 22:19,113.855,売,300,1.713E+15,,,,,,,
USD/JPY,2017/5/10 22:02,113.826,2017/5/10 22:09,113.831,売,300,1.713E+15,,,,,,,
USD/JPY,2017/5/10 21:21,113.853,2017/5/10 21:22,113.869,売,200,1.713E+15,,,,,,,
USD/JPY,2017/5/10 20:57,113.808,2017/5/10 20:58,113.822,売,300,1.713E+15,,,,,,,
USD/JPY,2017/5/10 17:03,113.883,2017/5/10 17:04,113.88,売,300,1.713E+15,,,,,,,
USD/JPY,2017/5/10 5:55,113.99,2017/5/10 15:47,113.99,売,500,1.713E+15,,,,,,,
USD/JPY,2017/5/10 11:00,113.839,2017/5/10 15:21,113.848,売,500,1.713E+15,,,,,,,
USD/JPY,2017/5/10 9:37,113.865,2017/5/10 10:01,113.869,売,500,1.713E+15,,,,,,,
